訓練資料來源         訓練資料筆數  驗證資料筆數 訓練次數 驗證時k值  lr  epoch word_ngrams 精確度平均 精確度標準差 召回率平均 召回率標準差
intro_ingres_steps       11335        1133       10        1     0.2    5         1       76.487%    1.035%    76.487%    1.035%
intro_ingres_steps       11335        1133       10        1     0.2   20         1       76.734%    1.110%    76.734%    1.110%
intro_ingres_steps       11335        1133       10        1     0.2   35         1       77.555%    0.809%    77.555%    0.809%
intro_ingres_steps       11335        1133       10        1     0.2   50         1       77.026%    1.126%    77.026%    1.126%
intro_ingres_steps       11335        1133       10        1     0.4    5         1       76.452%    1.274%    76.452%    1.274%
intro_ingres_steps       11335        1133       10        1     0.4   20         1       75.878%    1.194%    75.878%    1.194%
intro_ingres_steps       11335        1133       10        1     0.4   35         1       75.552%    0.597%    75.552%    0.597%
intro_ingres_steps       11335        1133       10        1     0.4   50         1       76.981%    1.586%    76.981%    1.586%
intro_ingres_steps       11335        1133       10        1     0.6    5         1       76.328%    1.303%    76.328%    1.303%
intro_ingres_steps       11335        1133       10        1     0.6   20         1       76.523%    1.099%    76.523%    1.099%
intro_ingres_steps       11335        1133       10        1     0.6   35         1       76.796%    0.698%    76.796%    0.698%
intro_ingres_steps       11335        1133       10        1     0.6   50         1       76.355%    1.354%    76.355%    1.354%
